event_id,upstream_model_family,model_family,representation_seed,decision_seed,investor_group,contrast,comparison,baseline,expressed_reason_comparison,expressed_reason_baseline,expressed_reason_delta,uncertainty_frame_comparison,uncertainty_frame_baseline,uncertainty_frame_delta,composite_reasoning_comparison,composite_reasoning_baseline,composite_reasoning_delta
evt_0090,claude-sonnet-4.5,gpt-5.2,1,1,institutional,T3_minus_T2,T3,T2,0.08987319124604835,0.1037852199456948,-0.013912028699646445,0.1956315043155372,0.1657919054301497,0.02983959888538748,0.08154640121189542,0.10412863409217404,-0.02258223288027862
evt_0090,claude-sonnet-4.5,gpt-5.2,1,1,institutional,T4_minus_T2,T4,T2,0.05278760279171635,0.1037852199456948,-0.05099761715397845,0.18344919680376215,0.1657919054301497,0.017657291373612438,0.05004654908839904,0.10412863409217404,-0.054082085003775
evt_0090,claude-sonnet-4.5,gpt-5.2,1,1,institutional,T4_minus_T3,T4,T3,0.05278760279171635,0.08987319124604835,-0.037085588454332005,0.18344919680376215,0.1956315043155372,-0.012182307511775042,0.05004654908839904,0.08154640121189542,-0.03149985212349638
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,all_profiles,T3_minus_T2,T3,T2,0.07224651243824196,0.06783630994310508,0.004410202495136878,0.1341663988510065,0.13156994886049095,0.002596449990515559,0.07304880900205186,0.06548099600027765,0.007567813001774212
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,all_profiles,T4_minus_T2,T4,T2,0.06915151893256354,0.06783630994310508,0.0013152089894584579,0.17537818349576614,0.13156994886049095,0.043808234635275195,0.0639332739716475,0.06548099600027765,-0.0015477220286301552
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,all_profiles,T4_minus_T3,T4,T3,0.06915151893256354,0.07224651243824196,-0.00309499350567842,0.17537818349576614,0.1341663988510065,0.041211784644759636,0.0639332739716475,0.07304880900205186,-0.009115535030404368
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,retail,T3_minus_T2,T3,T2,0.08232874658933766,0.08881136067928315,-0.006482614089945493,0.11333719050460535,0.11206258747406979,0.0012746030305355593,0.08515936618620366,0.09066597221388915,-0.00550660602768549
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,retail,T4_minus_T2,T4,T2,0.08658007541040787,0.08881136067928315,-0.0022312852688752827,0.17299730322613444,0.11206258747406979,0.06093471575206465,0.07675637165540661,0.09066597221388915,-0.013909600558482546
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,retail,T4_minus_T3,T4,T3,0.08658007541040787,0.08232874658933766,0.0042513288210702105,0.17299730322613444,0.11333719050460535,0.05966011272152909,0.07675637165540661,0.08515936618620366,-0.008402994530797056
evt_0090,claude-sonnet-4.5,gpt-5.2,2,1,institutional,T3_minus_T2,T3,T2,0.07782236437958628,0.0613273386399662,0.016495025739620084,0.14580517004379165,0.1430301340282935,0.002775036015498139,0.07763823893111971,0.05687298269535538,0.020765256235764327
